name,author_id,text,cooking_time,image,short_code
Пельмени домашние,16,"1. Замесите тесто из муки, воды, яйца, дайте отдохнуть 30 минут. 2. Смешайте фарш с мелко нарезанным луком, солью, перцем. 3. Раскатайте тесто, вырежьте кружки, положите начинку, слепите пельмени. 4. Варите в кипящей подсоленной воде 7 минут.",60,recipes/images/default.png,Wv4kC9tN
Оливье,17,"1. Отварите картофель, морковь, яйца, нарежьте кубиками. 2. Нарежьте колбасу и огурцы кубиками, смешайте с горошком. 3. Заправьте майонезом, посолите, перемешайте. Подавайте охлажденным.",30,recipes/images/default.png,Rt1eY3mZ
Шашлык свиной,18,"1. Нарежьте мясо кубиками, лук кольцами. 2. Замаринуйте мясо с луком, уксусом, специями на 4 часа. 3. Нанижите на шампуры, жарьте на углях 15 минут, переворачивая. Подавайте с соусом.",300,recipes/images/default.png,Fd7qA5vP
Запеченный лосось,19,"1. Смажьте лосось маслом, посыпьте солью, перцем, укропом. 2. Выложите дольки лимона сверху. 3. Запекайте при 200°C 20 минут. Подавайте с овощами.",25,recipes/images/default.png,Nk2rU8hL
Блины тонкие,20,"1. Смешайте муку, яйца, молоко, сахар, соль, масло. 2. Жарьте блины на раскаленной сковороде по 1 минуте с каждой стороны. 3. Подавайте с медом или вареньем.",30,recipes/images/default.png,Cs9pN4wQ
Котлеты мясные,21,"1. Замочите хлеб в молоке. 2. Смешайте фарш, яйцо, мелко нарезанный лук, хлеб, соль, перец. 3. Сформируйте котлеты, обваляйте в сухарях. 4. Жарьте на масле по 5 минут с каждой стороны.",30,recipes/images/default.png,Ju6xZ1tR
Суп гороховый,22,"1. Замочите горох на 2 часа, затем варите в воде 1 час. 2. Добавьте нарезанные картофель, морковь, лук, копчености, варите 20 минут. 3. Приправьте солью, перцем. Подавайте с гренками.",90,recipes/images/default.png,Ab3tM7kF
Эклеры,23,"1. Вскипятите воду с маслом, добавьте муку, замесите тесто. 2. Добавьте яйца по одному, вымешивая. 3. Выдавите тесто на противень, выпекайте при 200°C 25 минут. 4. Наполните кремом, покройте растопленным шоколадом.",60,recipes/images/default.png,Hm8wL2nX
Картофель по-деревенски,24,"1. Нарежьте картофель дольками. 2. Смешайте с маслом, паприкой, солью, перцем. 3. Выложите на противень, запекайте при 200°C 40 минут, переворачивая. Подавайте с соусом.",45,recipes/images/default.png,Py5uJ9sB
Смузи ягодный,25,"1. Поместите все компоненты в блендер. 2. Взбейте до однородности. 3. Подавайте охлажденным.",10,recipes/images/default.png,Wv1kC4tN
Плов узбекский,26,"1. Обжарьте мясо в масле до корочки. 2. Добавьте нарезанные морковь и лук, тушите 10 минут. 3. Засыпьте рис, добавьте зиру, соль, перец, залейте водой на 2 см выше риса. 4. Варите под крышкой 40 минут. Подавайте горячим.",60,recipes/images/default.png,Rt7eY8mZ
Гаспачо,27,"1. Очистите помидоры, нарежьте все овощи. 2. Взбейте в блендере с маслом, уксусом, солью. 3. Охладите 2 часа. Подавайте холодным.",30,recipes/images/default.png,Fd2qA3vP
Курица терияки,28,"1. Смешайте соевый соус, мед, тертый имбирь и чеснок. 2. Замаринуйте курицу 30 минут. 3. Обжарьте на масле по 5 минут с каждой стороны. 4. Подавайте с рисом.",40,recipes/images/default.png,Nk9rU5hL
Шарлотка,29,"1. Взбейте яйца с сахаром и ванилином. 2. Добавьте муку и разрыхлитель, перемешайте. 3. Нарежьте яблоки, выложите в форму, залейте тестом. 4. Выпекайте при 180°C 40 минут.",50,recipes/images/default.png,Cs4pN6wQ
Крем-брюле,30,"1. Нагрейте сливки с ванилью, не доводя до кипения. 2. Взбейте желтки с сахаром, влейте сливки, перемешайте. 3. Разлейте по формочкам, выпекайте при 150°C 40 минут. 4. Посыпьте коричневым сахаром, карамелизуйте горелкой.",60,recipes/images/default.png,Ju1xZ7tR
Жареная картошка,31,"1. Нарежьте картофель брусками, лук полукольцами. 2. Обжарьте картофель на масле 15 минут, добавьте лук. 3. Жарьте еще 10 минут, приправьте солью и перцем.",30,recipes/images/default.png,Ab6tM2kF
Салат греческий,32,"1. Нарежьте помидоры, огурец, перец кубиками, лук полукольцами. 2. Добавьте оливки и фету, сбрызните маслом. 3. Приправьте солью и орегано.",15,recipes/images/default.png,Hm3wL9nX
Бефстроганов,33,"1. Нарежьте говядину полосками, обваляйте в муке. 2. Обжарьте на масле с луком 10 минут. 3. Влейте сливки, тушите 10 минут. 4. Приправьте солью и перцем. Подавайте с картофелем.",30,recipes/images/default.png,Py8uJ4sB
Фруктовый салат,34,"1. Нарежьте фрукты кубиками. 2. Смешайте с йогуртом и медом. 3. Подавайте охлажденным.",15,recipes/images/default.png,Wv5kC1tN
Кесадилья,35,"1. Обжарьте курицу с перцем 10 минут. 2. Выложите начинку и сыр на тортилью, накройте второй. 3. Жарьте на сковороде по 3 минуты с каждой стороны. 4. Нарежьте треугольниками.",20,recipes/images/default.png,Rt2eY6mZ
Мясо по-французски,36,"1. Нарежьте мясо ломтиками, отбейте, посолите, поперчите. 2. Выложите в форму, сверху лук кольцами, майонез, сыр. 3. Запекайте при 180°C 40 минут.",50,recipes/images/default.png,Fd9qA3vP
Панкейки,37,"1. Смешайте муку, яйца, молоко, сахар, разрыхлитель, масло. 2. Жарьте панкейки на сковороде по 2 минуты с каждой стороны. 3. Подавайте с сиропом или ягодами.",20,recipes/images/default.png,Nk4rU8hL
Суп-пюре грибной,38,"1. Обжарьте грибы с луком 10 минут. 2. Добавьте нарезанный картофель, залейте бульоном, варите 20 минут. 3. Пюрируйте блендером, добавьте сливки, прогрейте.",30,recipes/images/default.png,Cs1pN5wQ
Тартар из лосося,39,"1. Нарежьте лосось и авокадо мелкими кубиками. 2. Смешайте с лимонным соком, маслом, укропом, солью, перцем. 3. Выложите в форму, подавайте охлажденным.",15,recipes/images/default.png,Ju7xZ2tR
Брауни,40,"1. Растопите шоколад с маслом. 2. Взбейте яйца с сахаром, добавьте шоколадную смесь, муку, разрыхлитель. 3. Вылейте в форму, выпекайте при 180°C 25 минут.",40,recipes/images/default.png,Ab3tM9kF
Жульен,41,"1. Обжарьте грибы с луком 10 минут. 2. Добавьте муку, сливки, тушите 5 минут. 3. Разлейте по формочкам, посыпьте сыром. 4. Запекайте при 180°C 15 минут.",30,recipes/images/default.png,Hm8wL6nX
Ризотто с грибами,42,"1. Обжарьте лук и грибы на масле. 2. Добавьте рис, обжарьте 2 минуты, влейте вино, выпарите. 3. Постепенно добавляйте бульон, варите 20 минут, помешивая. 4. Добавьте пармезан, подавайте горячим.",30,recipes/images/default.png,Py5uJ1sB
Капкейки,43,"1. Взбейте масло с сахаром, добавьте яйца, молоко, муку, разрыхлитель. 2. Разлейте по формочкам, выпекайте при 180°C 20 минут. 3. Украсьте кремом.",40,recipes/images/default.png,Wv2kC7tN
Хачапури,44,"1. Замесите тесто из муки, воды, соли, дайте отдохнуть 30 минут. 2. Раскатайте, выложите тертый сыр, сформируйте лодочки. 3. Выпекайте при 200°C 20 минут, добавьте яйцо, запекайте 5 минут.",50,recipes/images/default.png,Rt9eY4mZ
Салат с тунцом,45,"1. Отварите яйца, нарежьте кубиками. 2. Нарежьте огурец, помидор, смешайте с тунцом и салатом. 3. Заправьте маслом, посолите.",15,recipes/images/default.png,Fd6qA2vP
Куриные крылышки,46,"1. Смешайте соевый соус, мед, паприку, тертый чеснок. 2. Замаринуйте крылышки 1 час. 3. Запекайте при 200°C 30 минут, переворачивая.",40,recipes/images/default.png,Nk3rU9hL
Торт медовик,47,"1. Смешайте мед, сахар, яйца, соду, нагрейте, добавьте муку, замесите тесто. 2. Выпекайте коржи при 180°C по 10 минут. 3. Смажьте коржи сметаной, соберите торт, охладите 4 часа.",300,recipes/images/default.png,Cs8pN5wQ
Суп харчо,48,"1. Сварите говядину 1,5 часа. 2. Добавьте рис, варите 15 минут. 3. Обжарьте лук с томатной пастой, добавьте в суп с хмели-сунели. 4. Варите 10 минут, посыпьте кинзой.",120,recipes/images/default.png,Ju4xZ1tR
Мусс шоколадный,49,"1. Растопите шоколад. 2. Взбейте сливки с сахаром и ванилью до пиков. 3. Смешайте с шоколадом, разлейте по формочкам. 4. Охладите 2 часа.",120,recipes/images/default.png,Ab9tM7kF
Фаршированные перцы,50,"1. Отварите рис до полуготовности. 2. Смешайте фарш, рис, нарезанный лук, соль, перец. 3. Нафаршируйте перцы, выложите в форму, залейте соусом. 4. Запекайте при 180°C 40 минут.",60,recipes/images/default.png,Hm6wL3nX
