name,measurement_unit_id
карамбола,1
карамель,1
карамельный соус,1
карамель с начинкой,1
карамель соленая,1
карась,1
карбонад,1
кардамон,1
кардамон зерна,1
кардамон молотый,1
кардамон стручки,1
каркаде,1
карп,1
карп зеркальный,1
карп филе,1
карри,1
карри листья,1
карри паста,1
картофель,1
картофель вареный,1
картофель вареный в мундире,1
картофель молодой,1
картофельное пюре,1
картофельные ньокки,1
картофельные хлопья,1
картофельные чипсы,1
картофельный крахмал,1
картофельный отвар,1
картофельный хэш замороженный,1
картофель печеный,1
катык,1
каффир-лайм листья,1
каша,1
каша для детского питания,1
каштановая мука,1
каштановый крем,1
каштаны,1
каштаны вареные,1
каштаны консервированные,1
каштаны очищенные,1
квас,1
квасное сусло,1
квасной концентрат сухой,1
квас хлебный,1
кедровая мука,1
кедровые орехи,1
кедровые орехи жареные,1
кета,1
кетчуп острый,1
кетчуп томатный,1
кетчуп тосканский,1
кетчуп шашлычный,1
кефаль,1
кефир,2
кефир 1%,2
кефир 2.5%,2
кефир 3.2%,2
кефир обезжиренный,2
кешью,1
кивано,1
киви,1
киви желе,1
кижуч,1
кижуч горячего копчения филе,1
кизил,1
килька,1
кимчи,1
кинза свежая,1
кинза сушеная,1
киноа,1
киноа молотая,1
кипяток,2
кирш,1
кисель,1
кисель сухой,1
кисломолочный напиток тан,2
кишки,1
клейковина,1
клементины,1
кленовый сироп,2
клубника,1
клубника в сиропе,1
клубника замороженная,1
клубника протертая с сахаром,1
клубника сушеная,1
клубничное варенье,1
клубничное желе,1
клубничное пюре,1
клубничный джем,1
клубничный джем густой,1
клубничный компот,2
клубничный ликер,2
клубничный сироп,2
клюква,1
клюква вяленая,1
клюква замороженная,1
клюква протертая с сахаром,1
клюквенное варенье,1
клюквенный джем,1
клюквенный морс,2
клюквенный сироп,2
клюквенный соус,1
козлиная печень,1
козлятина молодая,1
кока-кола,2
кокосовая вода,2
кокосовая мука,1
кокосовая стружка,1
кокосовая стружка цветная,1
кокосовое масло,2
кокосовое молоко,2
кокосовые сливки,2
кокосовый ликер,2
кокосовый экстракт,2
кокосы,1
кола,2
колбаса,1
колбаса вареная,1
колбаса варено-копченая,1
колбаса копченая,1
колбаса кровяная,1
колбаса полукопченая,1
колбаса сырокопченая,1
колбаска свиная свежая (salsiccia),1
колбаски,1
колбаски для жарки,1
колбаски домашние,1
колбаски охотничьи,1
колбаски сырокопченые,1
компот,1
конопляное масло,2
конопля семена,1
конфеты,1
конфеты m&m’s,1
конфеты жевательные лакричные,1
конфеты коровка,1
конфеты трюфель,1
конфитюр,1
конфитюрка,1
коньяк,2
копчености,1
коренья,1
кориандр,1
кориандр зелень,1
кориандр молотый,1
кориандр семена,1
коринка,1
корица,1
корица молотая,1
корнишоны,1
корнишоны маринованые,1
корюшка,1
корюшка горячего копчения,1
кости,1
кости мозговые,1
кость сахарная,1
кофе в зернах,1
кофе зеленый,1
кофейные зерна в шоколаде,1
кофейный ликер,2
кофейный ликер kahlua,2
кофейный напиток,2
кофейный сироп,2
кофейный экстракт,2
кофе молотый,1
кофе растворимый,1
кофе свежесваренный,2
кофе черный,2
кофе эспрессо,2
крабовое мясо,1
крабовые палочки,1
краб снежный,1
крабы,1
крапива,1
краситель-гель пищевой,1
краситель пищевой,1
краситель пищевой вишневый,1
краситель пищевой желтый,1
краситель пищевой зеленый,1
краситель пищевой красный,1
краситель пищевой оранжевый,1
краситель пищевой фиолетовый,1
краситель пищевой черный,1
красная смородина,1
красная смородина протертая с сахаром,1
красноперка,1
красносмородиновое варенье,1
красный винный соус,1
крахмал,1
креветки,1
креветки замороженные,1
креветки королевские,1
креветки очищенные,1
креветки очищенные в рассоле,1
креветки салатные,1
креветки сушеные,1
креветки тигровые,1
крекер,1
крекер соленый,1
крем заварной,1
крем заварной порошковый,1
крем-фреш,1
кресс-салат,1
кровь,2
кролик,1
кролик тушка,1
кролик филе,1
кроличья печень,1
круассаны,3
крутоны мелкие,1
крыжовник,1
крыжовниковое варенье,1
кукуруза,1
кукуруза замороженная,1
кукуруза консервированная,1
кукуруза обжаренная кикос,1
кукурузная крупа,1
кукурузная мука,1
кукурузное масло,1
кукурузные лепешки,3
кукурузные палочки,1
кукурузные хлопья,1
кукурузные хлопья глазированные,1
кукурузные чипсы,1
кукурузный (золотой) сироп,2
кукурузный крахмал,1
кумин,1
кумкваты,1
кунжут,1
кунжутная мука,1
кунжутная паста,1
кунжутное масло,1
кунжутные семечки,1
кунжут черный,1
купаты,3
курага,1
курдючное сало,1
курдючный жир,1
куриная ветчина,1
куриная кожа,1
куриная печень,1
куриное карпаччо,1
куриное филе,1
куриные бедра,1
куриные голени,1
куриные голени копченые,3
куриные грудки,1
куриные грудки вареные,1
куриные грудки копченые,1
куриные желудочки,1
куриные кости,1
куриные крылья,1
куриные окорочка,1
куриные окорочка копченые,1
куриные потрошки,1
куриные сердечки,1
куриный бульон,2
куриный паштет,1
куриный суповой набор,1
куриный фарш,1
курица,1
курица вареная,1
курица для жарки,1
курица копченая,1
курица тушка,1
куркума,1
куропатки,1
кускус,1
кускус жемчужный,12
кэроб,1
лаванда,1
лаванда сушеная,11
лавандовый краситель,4
лаваш,1
лаваш армянский,1
лаваш персидский круглый,1
лаваш тонкий,1
лавровые листья свежие,3
лавровый лист,1
лайм,1
лайм листья,3
лаймовая цедра,1
лаймовый сок,2
лангустины,3
лапша,1
лапша для лагмана,1
лапша ширатаки,1
лапша яичная в гнездах,1
латук,1
легкие,1
лед,1
леди-фиш тушка,1
лемонграсс (лимонное сорго),1
лен семена,1
лепешки,1
лепешки арабские,3
лесные орехи,1
лечо,1
ливер,1
ликер,2
ликер alchermes,2
ликер amaretto,2
ликер baileys,2
ликер cointreau,2
ликер кремовый,2
ликер сливочный,2
лимонад,2
лимонная кислота,2
лимонная цедра,1
лимонник стебель,1
лимонник ягоды,1
лимонные корочки засахаренные,1
лимонные цукаты,1
лимонный сок,2
лимонный уксус,2
лимонный экстракт,2
лимончелло,1
лимоны,1
лингвине,3
лисички,1
лисички сушеные,1
личи,3
личи компот,2
лобстер,1
лонган,1
лонгконг,3
лососевые молоки,1
лососевый фарш,1
лосось,1
лосось горячего копчения,1
лосось копченый,1
лосось свежесоленый,1
лосось свежий,1
лосось свежий филе,1
лосось слабосоленый,1
лосось стейки,1
лосось филе,1
лосось филе на коже,1
лосось холодного копчения,1
лосятина,1
лук белый,1
лук зеленый,1
лук красный,1
лук маринованный,1
луковая шелуха,1
луковый порошок,1
лук-порей,9
лук-резанец,1
лук репчатый,1
лук репчатый мелкий,1
лук салатный,1
лук сушеный,1
лук-шалот,1
лук-шалот красный,1
льняная мука,1
льняное масло,2
льняное семя,1
льняное семя молотое,1
любисток,1
маасдам,1
мадера,1
майонез,1
майонез домашний,1
майонез легкий,1
майонезный соус «слобода» постный,1
майонез оливковый,1
майонез «слобода» легкий,1
майонез «слобода» на перепелиных яйцах,1
майонез «слобода» оливковый,1
майонез «слобода» провансаль,1
майонез «слобода» с лимонным соком,1
майонез «слобода» сметанный,1
майоран,1
майоран свежий,1
майоран сушеный,1
мак,1
макаронные изделия,1
макаронные изделия мелкие,1
макароны,1
макароны-бабочки (farfalle),1
макароны-бабочки (farfalle) мини,1
макароны баветте,1
макароны-бантики,1
макароны букатини,1
макароны джильи,1
макароны диталони,1
макароны-звездочки,1
макароны орзо,1
макароны-ракушки (conchiglie),1
макароны-ракушки (conchiglie rigate),1
макароны-ракушки крупные,1
макароны рисони,1
макароны-рожки (pipe rigate),1
макароны-спиральки (fusilli),1
макароны-ушки (orecchiette),1
маккерончини,1
мак молотый,1
маковая масса,1
малина,1
малина замороженная,1
малина протертая с сахаром,1
малина сушеная,1
малиновое варенье,1
малиновое желе,1
малиновое пюре,1
малиновый джем,1
малиновый крем,1
малиновый сироп,2
малиновый соус,1
малиновый уксус,2
малиновый чай,1
манго,1
манговый сироп,2
манго консервированное,1
мангольд,1
мангустин,1
мандариновое пюре,1
мандариновые цукаты,1
мандариновый сок,2
мандарины,1
мандарины в собственном соку,1
манная крупа,1
маракуйя,1
маргарин,1
маргарин сливочный,1
мармелад,1
мармелад бутербродный,1
марсала,1
мартини,2
мартини красный,2
марципан,1
марципан зеленый,1
марципан розовый,1
маршмеллоу,1
маршмеллоу крем,1
маршмеллоу мини,1
маскарпоне,1
маслины,1
маслины без косточек,1
масло авокадо,2
масло виноградных косточек,2
масло грецкого ореха,2
масло для фритюра,2
масло кедрового ореха,2
маслята,1
мастика,1
мастика желатиновая,1
мастика шоколадная,1
матча,1
мафальдине,1
маца,1
мацони,1
маш,1
мед,1
мед акации,1
мед гречишный,1
мед жидкий,1
мед лавандовый,1
мелисса,1
меренги,1
мидии,1
мидии в раковинах,1
мидии в раковинах крупные черные,1
мидии в раковинах мелкие зеленые,1
мидии замороженные,1
мидии копченые в масле,1
микрозелень,1
миндаль,1
миндаль жареный,1
миндаль измельченный,1
миндальная масса,1
миндальная мука,1
миндальная паста,1
миндальная эссенция,1
миндальное масло,1
миндальное молоко,2
миндальное печенье,1
миндальное пралине,1
миндальные лепестки,1
миндальный ликер,2
миндальный сироп,2
миндальный экстракт,2
миндаль очищенный,1
миндаль рубленый,1
мини-кукуруза,1
минога,1
минтай,1
минтай печень,1
минтай филе,1
мисо-паста,1
мисо-суп,2
можжевельник ягоды,1
мойва,1
моллюски,1
молоко,2
молоко 0.5%,2
молоко 1.5%,2
молоко 2.5%,2
молоко 3.2%,2
молоко 3.6%,2
молоко 4%,2
молоко 6%,2
молоко козье,2
молоко концентрированное,2
молоко рисовое,2
молоко сгущенное,1
молоко сгущенное вареное,1
молоко сгущенное с какао,1
молоко сухое,1
молоко сухое обезжиренное,1
молоко топленое,2
молочная смесь,1
молочные продукты,1
морепродукты,1
морковное пюре,1
морковь,1
морковь вареная,1
морковь крупная,1
морковь молодая,1
морковь по-корейски,1
морковь тертая,1
мороженое,1
мороженое ванильное,1
мороженое клубничное,1
мороженое лимонное,1
мороженое малиновое,1
мороженое пломбир,1
мороженое шоколадное,1
морошка,1
морские гребешки,1
морской коктейль,1
морской коктейль в масле,1
морской коктейль замороженный,1
морской черт,1
морской язык,1
морской язык филе,1
мортаделла,1
моцарелла,1
моцарелла для запекания,1
моцарелла для пиццы,1
моцарелла мини,1
моцарелла с травами,1
моцарелла шарик большой,1
мука,1
мука 1 сорт,1
мука 2 сорт,1
мука «аладушкин»,1
мука грубого помола,1
мука для темпуры,1
мука из пророщенной пшеницы,1
мука манитоба,1
мука самоподнимающаяся,1
мука с отрубями,1
мука с семечками,1
мука хлебопекарная,1
мука цельнозерновая,1
мускат белый,2
мускатное вино,2
мускатный орех,1
мускатный орех молотый,1
мюсли,1
мягкий творог,1
мясной бульон,2
мясной фарш,1
мясо,1
мясо дикого кабана,1
мясо криля,1
мясо на косточке,1
мята,1
мята сушеная,1
мятный сироп,2
мятный шнапс,2
нардек,1
нектарины,1
нога ягненка без кости,1
нори,1
нуга,1
нуга с орехами,1
нут,1
нутелла,1
нут консервированный,1
нутовая мука,1
облепиха,1
облепиха замороженная,1
облепиховый сироп,2
овощи,1
овощная смесь,1
овощная смесь замороженная,1
овощная смесь замороженная для wok,1
овощная смесь по-китайски,1
овощной бульон,2
овсяная мука,1
овсяное молоко,2
овсяное печенье,1
овсяное толокно,1
овсяные зерна,1
овсяные отруби,1
овсяные хлопья,1
овсяные хлопья быстрого приготовления,1
огуречный рассол,2
огурцы,1
огурцы консервированные,1
огурцы малосольные,1
огурцы маринованные,1
огурцы свежие,1
огурцы соленые,1
одуванчики,1
окорок,1
окорок варено-копченый,1
окунь,1
окунь красный филе,1
окунь морской,1
окунь морской филе,1
окунь филе,1
оленина,1
оливки,1
оливки без косточек,1
оливки зеленые,1
оливки зеленые консервированные,7
оливки каламата,1
оливки консервированные,1
оливки фаршированные анчоусами,1
оливки черные,1
оливковая паста,1
оливковое масло,1
оливковое масло extra virgin,1
опунция плоды,1
опята,1
опята замороженные,1
опята маринованные,1
орегано,1
орегано свежий,1
орегано сушеный,1
орехи,1
орехи бразильские,1
орехи макадамия,1
орехи пекан,1
орехи пинии,1
ореховая крошка,1
ореховая паста,1
ореховое масло,2
ореховый ликер,2
ореховый соус,1
осетр,1
осетрина холодного копчения,1
осьминог,1
осьминоги консервированные,1
осьминоги мини,1
отруби,1
ошеек,1
пагр,1
пажитник,1
пажитник семена,1
палтус,1
пальмовое масло,2
пангасиус,1
панеттоне,1
панифарин,1
панчетта,1
папайя,1
папайя консервированная в собственном соку,1
папоротник,1
папоротник соленый,1
паппарделле,1
паприка,1
паприка копченая,1
паприка красная,1
паприка красная молотая,1
паприка острая копченая,1
паприка сладкая,1
паприка сладкая копченая,1
паприка сладкая хлопьями,1
пармезан,1
паста,1
паста веджимайт,1
паста тахини,1
паста хариса,1
пастернак,1
пастила,1
пастила виноградная,1
патиссоны,1
патока,1
патока крахмальная,1
патока черная (меласса),1
пахта,1
паштет,1
пекарский порошок,1
пекорино,1
пектин,1
пеленгас,1
пельмени,1
пенне,1
пенне ригате,1
пеперончино,1
пеперончино молотый,1
переводной лист для шоколада,3
перепелки,1
перец,1
перец белый,1
перец белый горошком,1
перец белый молотый,1
перец белый свежемолотый,4
перец болгарский,1
перец болгарский желтый,1
перец болгарский зеленый,1
перец болгарский красный,1
перец горошком,1
перец горошком смесь,1
перец душистый,1
перец душистый горошком,1
перец душистый молотый,1
перец испанский острый,1
перец кайенский,1
перец кайенский красный,1
перец кайенский молотый,1
перец красный,1
перец красный горошком,1
перец красный жгучий,1
перец красный молотый,1
перец красный острый,1
перец красный острый молотый,1
перец красный хлопьями,1
перец лимонный,1
перец маринованный,1
перец острый,1
перец острый зеленый,1
перец острый молотый,1
перец падрон,1
перец пеперони,1
перец пеперони красный,1
перец розовый горошком,1
перец свежемолотый смесь,1
перец сенегальский,1
перец сладкий,1
перец сладкий желтый,1
перец сладкий зеленый,1
перец сладкий красный,1
перец сладкий красный маринованный,1
перец сладкий красный молотый,1
перец сладкий оранжевый,1
перец сладкий сушеный,1
перец сычуаньский,1
перец халапеньо,1
перец халапеньо маринованный,1
перец черный,1
перец черный горошком,1
перец черный молотый,1
перец черный свежемолотый,1
перец чили,1
перец чили зеленый,1
перец чили красный,1
перец чили маринованный,1
перец чили молотый,1
перец чили сухой,1
перец чили хлопьями,1
перец ямайский,1
перловая крупа,1
перловая мука,1
персики,1
персики консервированные,1
персики сушеные,9
персиковое пюре,1
персиковый джем,1
персиковый мармелад,1
персиковый сироп,2
персиковый сок,2
перцовая паста,1
петрушка,1
петрушка зелень,1
петрушка итальянская,1
петрушка корень,1
петрушка рубленая,1
петрушка сушеная,1
печень,1
печенье,1
печенье oreo,1
печенье амаретти,1
печенье бисквитное,1
печенье галетное,3
печенье «дамские пальчики»,1
печенье песочное,1
печенье рассыпчатое,1
печенье савоярди,1
печенье сахарное,1
печенье сладкое,1
печенье сухое,1
печенье шоколадное,1
печенье юбилейное молочное,1
пиво,2
пиво имбирное,2
пиво нефильтрованное,2
пиво светлое,2
пиво темное,2
пикша,3
питы,1
повидло,1
подсолнечное масло,2
подсолнечные семечки,1
полба,1
полба недозрелая,1
полента,1
полента быстрого приготовления,1
помело,1
помидоры,1
помидоры бурые,1
помидоры вяленые,2
помидоры вяленые в масле,1
помидоры желтые,1
помидоры зеленые,1
помидоры консервированные,1
помидоры консервированные в собственном соку,1
помидоры консервированные в собственном соку с базиликом,1
помидоры протертые пассата,1
помидоры соленые,1
помидоры сушеные хлопьями,1
помидоры черри,1
помидоры черри желтые,1
попкорн,1
поросенок,1
портвейн,2
портобелло,1
портулак,1
посыпка кондитерская,1
почки,1
приправа 4 перца,1
приправа 5 специй (five spice),4
приправа для баранины,5
приправа для картофеля,1
приправа для курицы,1
приправа для макарон,1
приправа для маринования свинины,1
приправа для морепродуктов,1
приправа для мяса,1
приправа для паэльи,1
приправа для пиццы,1
приправа для плова,1
приправа для птицы,1
приправа для рыбы,1
приправа для салатов,1
приправа заатар,1
приправа креольская,1
приправа с сушеными грибами,1
приправы,1
прованские травы,1
проволоне,1
просекко,2
простокваша,2
протеин сывороточный,1
прошутто,1
пряники,1
пряничные специи,1
пряности,1
псиллиум,1
птитим,1
пудинг,1
пудинг ванильный,1
пудинг ванильный инстант,1
пудинг карамельный,1
пшеница,1
пшеничная крупа,1
пшеничная мука,1
пшеничная мука цельнозерновая,1
пшеничные зародыши,1
пшеничные отруби,1
пшеничные ростки,1
пшеничные хлопья,1
пшенные хлопья,1
пшено,1
пыльца цветочная,1
пюре,1
радиккио,3
разрыхлитель,1
раки,1
раковые шейки,1
раковые шейки в рассоле,1
рамбутан,1
рапаны,1
рапсовое масло,2
рассол,2
рассол от каперсов,2
рассол от оливок,2
растительное масло,2
растительное масло для жарки,2
растительное масло нерафинированное,2
растительное масло рафинированное,2
растительное молоко,2
ревень,1
реган,10
редис,1
редька,1
редька белая,1
редька зеленая,1
редька черная,1
репа,1
репа белая,1
ржаная закваска,1
ржаная закваска густая,1
ржаная мука,1
ржаные отруби,1
ригатони,1
рикотта,1
рикотта твердая,1
рис,1
рис арборио,1
рис басмати,1
рис бурый,1
рис бурый и дикий смесь,1
рис вареный,1
рис виола,1
рис девзира,1
рис дикий,1
рис дикий и золотистый смесь,1
рис длиннозерный,1
рис длиннозерный золотистый,1
рис для плова,1
рис для пудинга,1
рис для ризотто,1
рис для суши,1
рис жасминовый,1
рис золотистый,1
рис индика,1
рис италика,1
рис карнароли,1
рис красный,1
рис круглозерный,1
рис кубанский,1
рисовая бумага,1
рисовая лапша,1
рисовая мука,1
рисовое вино,2
рисовые хлопья,1
рисовые шарики воздушные,1
рисовый крахмал,1
рисовый уксус,2
рис пропаренный,1
рис пропаренный и дикий смесь,1
рис японика,1
рожь,1
розмарин,1
розмарин сушеный,1
розовая вода,2
розовые бутоны сушеные,1
